Id,Use Case,Status,Created Date,Close Date,Price,Discount code,Pain,Loss Reason
njljf14m,Corporate Events,Closed Won,2019-11-16,2019-11-16,240,MONTH50REBATE,,
kjisr59o,Corporate Events,Closed Won,2019-11-16,2019-11-17,360,MONTHSAVE25DEAL,financial control,
f071ur84,Corporate Events,Closed Won,2019-11-17,2019-11-17,768,2SEMESTERS20OFF,operations,
8ezl9b9h,Educational Seminars,Closed Lost,2019-11-11,2019-11-24,500,,quality of delivery,price
uslx2c8c,Corporate Events,Closed Lost,2019-11-17,2019-11-18,360,MONTHSAVE25DEAL,financial control,lost to competitor
gggo1zge,Corporate Events,Demo 1,2019-11-19,2020-01-26,,,,
,Educational Seminars,Closed Lost,2019-07-06,2019-07-06,334,,operations,lost to competitor
oi8pyr0x,Corporate Events,Closed Won,2019-08-06,2019-08-06,600,,,
b65b1g3z,Corporate Events,Closed Won,2019-12-18,2019-12-18,960,ANNUAL60DEAL,operations,
yhc6yuwu,Sports Events,Closed Won,2019-09-06,2019-10-06,768,HALFYEAR20G,quality of delivery,
c1n3we27,Sports Events,Demo 1,2019-10-06,2020-01-26,,,operations,
,Wedding Planning,Closed Lost,2019-11-10,2020-09-26,,,,no response
kvt2gj12,Corporate Events,Closed Won,2019-11-10,2019-11-23,360,MONTHSAVE25DEAL,,
,Sports Events,Demo 1,2019-11-11,2020-01-26,,,operations,
jck55wbd,Educational Seminars,Demo 1,2019-11-11,2020-01-26,450,QUARTERSAVE25,financial control,
h493pfxh,Educational Seminars,Closed Lost,2019-11-18,2019-11-18,360,25GIFT,financial control,no product fit
0wymszvw,Sports Events,Closed Won,2019-09-06,2019-09-06,120,GIVEAWAYFREE,,
e3gleq5r,Corporate Events,Demo 1,2019-12-24,2020-01-26,,,quality of delivery,
68z2e14h,Corporate Events,Closed Won,2019-08-06,2019-09-06,1344,YEARLY30PROMO,operations,
zcvegu22,Sports Events,Closed Won,2020-03-27,2020-03-27,960,YEARLY60,,
afivu0ad,Corporate Events,Closed Won,2019-11-18,2019-02-07,120,3QUARTERS75CUT,operations,
,Wedding Planning,Closed Lost,2019-11-09,2019-11-09,,,,no response
osgn4234,Educational Seminars,Negotiation,2020-04-26,2020-04-26,768,HALFYEAR20G,,
tkoghufn,Corporate Events,Closed Won,2019-08-06,2019-08-06,1008,RENEW30YEARLY,operations,
javll9xi,Corporate Events,Checkbox,2019-12-21,2019-12-21,300,MONTH50CUTBACK,,
mhtrpofn,Corporate Events,Closed Lost,2019-11-10,2019-11-10,240,DISCOUNT50POWER,financial control,no product fit
zly6yc6x,Educational Seminars,Closed Lost,2019-11-19,2019-11-25,1344,ANNUAL30BONUS,quality of delivery,no response
,Corporate Events,Closed Lost,2019-11-24,2019-11-25,0,,financial control,no response
kjhvaa7o,Educational Seminars,Closed Lost,2019-11-19,2019-11-25,240,MONTH50REBATE,operations,no response
bi10s29x,Sports Events,Negotiation,2020-08-27,2020-08-27,960,YEARLY60,,
dwjfamjd,Corporate Events,Closed Won,2019-01-07,2019-01-07,768,2SEMESTERS20OFF,financial control,
,Educational Seminars,Closed Lost,2019-12-11,2019-12-16,200,,time saving,lost to competitor
w9ufwx5o,Educational Seminars,Closed Won,2019-12-14,2019-12-18,300,SAVEMORE50,operations,
6mrt4tlu,Corporate Events,Closed Won,2019-12-22,2019-12-22,1344,YEARLY30PROMO,,
xhkfife6,Corporate Events,Closed Won,2019-11-17,2019-11-17,360,MONTHSAVE25DEAL,operations,
y8p7i6cq,Educational Seminars,Demo 1,2019-08-06,2020-01-26,,,quality of delivery,
p67jkcab,Corporate Events,Closed Won,2019-12-15,2019-12-16,1344,YEARLY30PROMO,operations,
51ifjt3f,Corporate Events,Closed Won,2019-12-17,2019-12-17,360,MONTHSAVE25DEAL,operations,
9znb8r95,Corporate Events,Closed Won,2019-12-24,2019-12-24,1344,YEARLY30PROMO,quality of delivery,
c066aytf,Educational Seminars,Closed Won,2019-12-25,2019-12-25,324,SLASH10,operations,
b0xkfuj2,Corporate Events,Closed Lost,2020-02-25,2020-10-27,768,2SEMESTERS20OFF,operations,no response
exut3bnp,Corporate Events,Closed Won,2019-11-20,2019-11-23,576,2SEMESTERS20SALE,operations,
i7f6btlu,Corporate Events,Closed Won,2019-12-23,2019-12-23,240,MONTH50REBATE,operations,
5mm6gtlz,Corporate Events,Closed Won,2020-09-26,2020-09-26,240,MONTH50REBATE,quality of delivery,
wwlwly64,Corporate Events,Closed Won,2019-05-07,2019-12-08,360,MONTHSAVE25DEAL,operations,
96urgb5e,Educational Seminars,Closed Won,2020-09-26,2020-09-26,960,BIANNUAL20,operations,
288g5d5r,Corporate Events,Negotiation,2020-10-27,2020-10-27,0,,quality of delivery,
x8ef2uaj,Corporate Events,Demo 1,2020-10-27,2020-01-26,240,DISCOUNT50POWER,financial control,
,Corporate Events,Demo 1,2019-12-14,2020-01-26,,,quality of delivery,
mjlorftl,Educational Seminars,Closed Won,2020-04-26,2020-04-26,200,25GIFT,operations,
3ok0nd9d,Educational Seminars,Closed Won,2020-02-25,2020-09-26,324,SLASH10,financial control,
60cv8ar4,,Demo 1,2019-10-06,2020-01-26,,,quality of delivery,
xihkl4rn,Corporate Events,Negotiation,2019-12-08,2019-12-08,960,BIANNUAL20,operations,
50pqgevs,Corporate Events,Demo 1,2019-12-15,2020-01-26,,,operations,
8aoo5aif,Educational Seminars,Closed Lost,2019-11-23,2019-11-23,0,,operations,no product fit
7vhju4cb,Corporate Events,Negotiation,2019-01-07,2019-02-07,768,2SEMESTERS20OFF,operations,
6vxmhio9,Educational Seminars,Negotiation,2020-04-26,2020-04-26,1008,RENEWYEAR30,,
7rg2xgw6,Corporate Events,Closed Won,2019-11-25,2019-12-14,300,MONTH50CUTBACK,operations,
5n6xlvze,Corporate Events,Negotiation,2020-03-27,2020-03-27,360,SAVE25LESS,operations,
8yg2ktyb,Sports Events,Closed Won,2019-12-23,2019-12-23,300,SAVEMORE50,financial control,
e8m66cn7,Corporate Events,Negotiation,2020-09-26,2020-09-26,0,,financial control,
jvcxt0hx,Educational Seminars,Negotiation,2019-11-11,2019-11-11,300,SAVEMORE50,financial control,
otiyixnh,Educational Seminars,Closed Lost,2019-11-12,2019-11-23,0,,financial control,no response
,Wedding Planning,Closed Lost,2019-11-24,2019-12-21,,,,no budget
,Educational Seminars,Demo 1,2019-07-07,2020-01-26,,,financial control,
n7xyxn9h,Corporate Events,Closed Won,2020-02-25,2020-02-25,240,MONTH50REBATE,operations,
eyjw9ydu,Educational Seminars,Closed Won,2020-03-27,2020-03-27,120,NOCOSTREG,,
0otwjac7,Corporate Events,Closed Won,2020-08-27,2020-08-27,14876,QUARTERLY75OFF,,
4d83bs7p,Corporate Events,Closed Won,2020-08-27,2020-08-27,240,MONTH50REBATE,financial control,
f1jiny0o,Corporate Events,Closed Lost,2020-09-26,2020-09-26,200,,operations,no product fit
bwrx3ael,Sports Events,Closed Won,2019-07-06,2019-07-06,240,SAVEMONTH50G,operations,
ga5x5ohc,Corporate Events,Closed Won,2019-11-16,2019-11-16,576,2SEMESTERS20SALE,quality of delivery,
194gbb0w,Educational Seminars,Closed Lost,2019-11-20,2019-11-20,200,,,lost to competitor
,Corporate Events,Closed Lost,2019-11-18,2019-11-23,200,,operations,lost to competitor
81a73dzr,Corporate Events,Closed Lost,2019-11-20,2019-11-20,576,2SEMESTERS20SALE,operations,not target
6isqpe81,Corporate Events,Closed Lost,2019-11-17,2019-11-19,768,2SEMESTERS20OFF,quality of delivery,lost to competitor
n124yb1s,Corporate Events,Closed Won,2019-11-25,2019-11-25,960,ANNUAL60DEAL,,
sfsixfyw,Corporate Events,Closed Won,2019-02-07,2019-02-07,300,MONTH50CUTBACK,quality of delivery,
zppu8nyk,Corporate Events,Closed Lost,2019-05-07,2019-07-07,240,,quality of delivery,no response
1recnp1e,Corporate Events,Closed Won,2019-05-07,2019-05-07,768,2SEMESTERS20OFF,financial control,
xtpzigqr,Corporate Events,Closed Lost,2019-12-08,2019-12-11,1344,YEARLY30PROMO,quality of delivery,not target
iz6uq7fg,Sports Events,Demo 1,2019-12-09,2020-01-26,,,quality of delivery,
feni9v9i,Corporate Events,Closed Won,2019-12-25,2019-12-25,960,ANNUAL60DEAL,operations,
5nxsvhpy,Corporate Events,Closed Won,2019-11-10,2019-11-10,324,10OFFREDUCED,operations,
dv6tw5nc,Sports Events,Closed Won,2019-11-16,2019-11-17,1008,10OFFREDUCED,operations,
yc6jjubk,Educational Seminars,Closed Won,2019-11-23,2019-11-24,324,SLASH10,operations,
7tq43nwv,Corporate Events,Closed Won,2019-07-07,2019-07-07,768,2SEMESTERS20OFF,operations,
p86gp515,Corporate Events,Closed Won,2019-11-19,2019-11-19,720,4SEMESTERS40DEAL,operations,
nm5k3jtx,Corporate Events,Closed Lost,2019-12-08,2019-12-09,0,,operations,lost to competitor
ri0x1wzk,Corporate Events,Closed Won,2019-12-14,2019-12-14,768,2SEMESTERS20OFF,operations,
6exqr5v3,Educational Seminars,Closed Lost,2019-12-15,2019-12-25,8014,YEARLONG75BONUS,operations,no response
7h1091nf,Educational Seminars,Closed Won,2019-12-17,2020-02-25,450,SAVEQUARTER25,operations,
l8td1uxt,Corporate Events,Closed Won,2019-12-21,2019-12-21,324,10OFFREDUCED,operations,
fffpl037,Educational Seminars,Closed Lost,2019-12-22,2019-12-25,1344,ANNUAL30BONUS,,lost to competitor
sh6w5l7r,Corporate Events,Negotiation,2019-12-23,2019-12-23,300,MONTH50CUTBACK,operations,
rk8kyngl,Corporate Events,Closed Won,2020-03-27,2020-03-27,768,2SEMESTERS20OFF,quality of delivery,
llcxz6dm,Educational Seminars,Negotiation,2020-08-27,2020-08-27,1344,ANNUAL30BONUS,quality of delivery,
juy03jbv,Sports Events,Closed Won,2019-08-06,2019-08-06,768,HALFYEAR20G,quality of delivery,
hhylxso6,Corporate Events,Closed Lost,2019-08-06,2019-11-06,300,,financial control,lost to competitor
1bftu3hh,Corporate Events,Closed Lost,2019-09-06,2019-11-25,576,2SEMESTERS20SALE,operations,not target
ds0zhhfh,Educational Seminars,Closed Won,2019-11-06,2019-11-09,360,DISCOUNT25QUICK,,
a76jsb7c,Educational Seminars,Checkbox,2019-11-12,2019-11-16,1344,ANNUAL30BONUS,quality of delivery,
639ka38k,Corporate Events,Closed Won,2019-08-06,2019-08-06,768,2SEMESTERS20OFF,operations,
7gp0128i,Sports Events,Closed Won,2019-05-07,2019-05-07,458,FULLYEAR75G,quality of delivery,
aqyfe1s0,Corporate Events,Closed Won,2019-11-18,2019-11-18,576,2SEMESTERS20SALE,financial control,
dmlsarg4,Corporate Events,Closed Won,2019-10-07,2019-12-07,1344,YEARLY30PROMO,quality of delivery,
3mo2wica,Corporate Events,Closed Won,2019-09-07,2019-09-07,360,MONTHSAVE25DEAL,financial control,
72dzy0wj,Corporate Events,Closed Won,2019-12-08,2019-12-08,240,MONTH50REBATE,quality of delivery,
w01t78a3,Corporate Events,Closed Won,2019-12-09,2019-12-11,360,MONTHSAVE25DEAL,financial control,
czuu77sp,Corporate Events,Closed Won,2019-12-15,2019-12-15,300,MONTH50CUTBACK,financial control,
py7mzhxw,Corporate Events,Closed Won,2020-01-27,2020-01-27,240,MONTH50REBATE,,
7g6gskfn,Sports Events,Closed Won,2020-09-26,2020-09-26,8014,YEARLONG75BONUS,operations,
7hlaz922,Corporate Events,Closed Won,2019-12-11,2019-12-14,360,MONTHSAVE25DEAL,operations,
pjh07ju4,Corporate Events,Closed Won,2019-11-17,2019-11-17,576,2SEMESTERS20SALE,operations,
yhndnb3b,Corporate Events,Demo 1,2019-12-24,2020-01-26,300,MONTH50CUTBACK,financial control,
9fxlh4e3,Educational Seminars,Closed Won,2019-11-11,2019-11-11,450,SAVEQUARTER25,financial control,
639e4b2v,Corporate Events,Closed Won,2020-03-27,2020-03-27,120,GIVEAWAYFREE,operations,
olpln55c,Corporate Events,Closed Lost,2019-11-09,2019-11-23,300,MONTH50CUTBACK,financial control,no budget
sqlgtv8i,Corporate Events,Closed Lost,2019-11-25,2019-11-25,200,,quality of delivery,no response
9opuw6zt,Corporate Events,Negotiation,2019-12-08,2019-12-08,240,MONTH50REBATE,quality of delivery,
kriy6sw7,Corporate Events,Demo 1,2019-05-07,2020-01-26,240,MONTH50REBATE,financial control,
4ffk9frh,Sports Events,Checkbox,2019-12-14,2019-12-15,360,25GIFT,operations,
,Sports Events,Closed Lost,2019-11-10,2019-11-11,0,,quality of delivery,no product fit
aix92b45,Educational Seminars,Closed Won,2019-11-11,2019-11-17,1344,ANNUAL30BONUS,quality of delivery,
rv6e5ldw,Corporate Events,Closed Won,2019-12-24,2019-12-24,200,MONTHSAVE25DEAL,operations,
kb8r8dr0,Sports Events,Closed Won,2019-07-06,2019-07-06,576,HALFSEASON20G,operations,
,Wedding Planning,Closed Lost,2019-08-06,2019-01-07,,,,no budget
dke1bnez,Corporate Events,Closed Won,2019-11-06,2019-12-06,1344,YEARLY30PROMO,quality of delivery,
pqq9wpec,Corporate Events,Closed Won,2019-11-17,2019-11-17,240,MONTH50REBATE,operations,
2tx1zdfg,Corporate Events,Closed Lost,2020-10-27,2020-10-27,200,,financial control,lost to competitor
ckn43jx5,Corporate Events,Closed Lost,2019-08-06,2019-11-23,0,,operations,not target
h83mbduk,Corporate Events,Closed Won,2019-10-06,2019-10-06,300,MONTH50CUTBACK,financial control,
4ep26xqh,Corporate Events,Closed Won,2019-07-07,2019-07-07,45744,DISCOUNT75SPECIAL,operations,
9ccg79id,Corporate Events,Closed Won,2019-12-24,2019-12-24,240,MONTH50REBATE,financial control,
6p2rj2xe,Educational Seminars,Negotiation,2020-02-25,2020-02-25,768,HALFYEAR20G,operations,
679b8m18,Corporate Events,Demo 1,2019-05-07,2020-01-26,,,operations,
e05ebbls,Corporate Events,Closed Won,2019-07-06,2019-07-06,300,SAVEMONTH50SPECIAL,,
xz6xrs8r,Corporate Events,Demo 1,2019-11-24,2020-01-26,,,operations,
5yf37r48,Educational Seminars,Closed Lost,2019-11-24,2019-11-25,1344,ANNUAL30BONUS,financial control,lost to competitor
2ktfmndt,Corporate Events,Closed Won,2019-11-24,2019-11-25,360,SAVE25LESS,operations,
,Educational Seminars,Closed Lost,2019-11-11,2019-11-25,600,PROMOCODE,quality of delivery,no response
0ntnaqye,Corporate Events,Closed Won,2020-02-25,2020-03-27,150,ECONOMY75DISCOUNT,,
rg092esy,Corporate Events,Demo 1,2019-02-07,2020-01-26,768,2SEMESTERS20OFF,quality of delivery,
bloey9kk,Sports Events,Closed Won,2019-09-07,2020-02-25,150,MONTH75SPECIAL,operations,
1dmzvsmr,Corporate Events,Closed Won,2019-12-09,2019-12-09,360,MONTHSAVE25DEAL,,
qqxsucdr,Educational Seminars,Negotiation,2020-03-27,2020-03-27,0,,financial control,
mtfenudq,Corporate Events,Closed Won,2019-12-15,2019-12-15,240,MONTH50REBATE,,
40qkfj6l,Corporate Events,Closed Lost,2019-11-19,2019-12-11,1344,YEARLY30PROMO,quality of delivery,not target
px9udct8,Corporate Events,Closed Won,2019-12-21,2019-12-21,768,2SEMESTERS20OFF,financial control,
,Wedding Planning,Closed Won,2019-12-10,2019-12-15,,,,
oflxcfos,Sports Events,Closed Won,2020-02-25,2020-03-27,960,YEARLY60,operations,
,Wedding Planning,Closed Lost,2019-09-06,2019-09-06,,,,no response
ndf502s3,Corporate Events,Closed Won,2019-11-06,2019-11-06,200,ECONOMY75DISCOUNT,,
qtlef5ah,Corporate Events,Closed Won,2020-04-26,2020-04-26,960,ANNUAL60DEAL,financial control,
ni9ersho,Sports Events,Closed Lost,2019-09-06,2019-10-06,360,25GIFT,operations,no product fit
3bty4oky,Educational Seminars,Closed Won,2019-11-12,2019-11-12,768,HALFYEAR20G,,
826utbcm,Corporate Events,Closed Won,2019-11-12,2019-11-13,576,2SEMESTERS20SALE,operations,
gxjboed5,Corporate Events,Negotiation,2019-07-07,2019-07-07,600,PROMOTIONCODE,quality of delivery,
shisqr67,Educational Seminars,Closed Won,2019-08-06,2019-08-06,1344,ANNUAL30BONUS,operations,
zxfja10b,Corporate Events,Closed Won,2019-12-24,2019-12-24,240,MONTH50REBATE,operations,
,Corporate Events,Negotiation,2020-01-27,2020-01-27,0,,quality of delivery,
zwp95waj,Corporate Events,Closed Won,2020-08-27,2020-08-27,360,MONTHSAVE25DEAL,operations,
2iw6563f,Corporate Events,Demo 1,2019-12-15,2020-01-26,324,10OFFREDUCED,operations,
cnawt51h,Corporate Events,Closed Won,2019-12-16,2019-12-16,300,MONTH50CUTBACK,quality of delivery,
zyxx6295,Educational Seminars,Closed Won,2019-08-06,2019-11-25,150,MONTH75SPECIAL,financial control,
b1kh5ct3,Corporate Events,Closed Won,2019-12-23,2019-12-23,1680,YEARLY30DISCOUNT,,
ezn6xdj3,Corporate Events,Closed Won,2019-12-24,2019-12-24,324,10OFFREDUCED,quality of delivery,
6i73rdhu,Corporate Events,Closed Lost,2020-04-26,2020-08-27,150,QUARTERLY75OFF,,not target
g6wq6vnf,Educational Seminars,Closed Won,2020-10-27,2020-10-27,1344,ANNUAL30BONUS,operations,
eb5fi1st,Corporate Events,Closed Lost,2019-11-06,2019-11-09,360,SAVE25LESS,,not target
mkcbpiza,Corporate Events,Demo 1,2019-11-09,2020-01-26,,,operations,
cdyyygy2,Educational Seminars,Closed Lost,2019-11-09,2019-11-09,0,,financial control,no product fit
q7sgpahz,Corporate Events,Closed Lost,2019-08-06,2019-08-06,200,,operations,no product fit
,Sports Events,Closed Lost,2019-11-11,2019-11-23,200,,operations,no product fit
hyizcxnw,Corporate Events,Demo 1,2019-11-11,2020-01-26,,,,
,Educational Seminars,Negotiation,2019-11-12,2019-11-12,0,,financial control,
bsw0vzh6,Educational Seminars,Closed Won,2019-11-23,2019-11-23,120,NOCOSTREG,financial control,
8i2d003s,Corporate Events,Closed Won,2019-11-18,2019-11-18,1008,RENEW30YEARLY,financial control,
79gteql2,Sports Events,Closed Won,2019-09-07,2019-09-07,300,ECONOMY50SPECIAL,operations,
fqfr3vgj,Corporate Events,Closed Won,2019-12-09,2019-12-09,360,MONTHSAVE25DEAL,operations,
c2riz5ly,Corporate Events,Closed Won,2019-12-22,2019-12-22,360,MONTHSAVE25DEAL,operations,
,Corporate Events,Closed Lost,2020-02-25,2020-10-27,960,SEMESTER20DEALAGAIN,operations,no response
,Corporate Events,Demo 1,2020-03-27,2020-01-26,,,operations,
18kobh4l,Sports Events,Checkbox,2020-09-26,2020-01-26,420,,,
yqw6ty7x,Corporate Events,Checkbox,2019-08-06,2019-08-06,1344,YEARLY30PROMO,financial control,
ybc74kqx,Sports Events,Closed Lost,2019-10-06,2019-11-12,0,,operations,no product fit
8jd5v6m6,Corporate Events,Closed Won,2019-11-09,2019-11-09,240,MONTH50REBATE,operations,
4vyyswj2,Corporate Events,Closed Won,2019-11-09,2019-07-07,768,2SEMESTERS20OFF,financial control,
kyibon5q,Corporate Events,Closed Won,2019-11-16,2019-11-16,300,MONTH50CUTBACK,operations,
sc6xa05g,Educational Seminars,Demo 1,2019-12-18,2020-01-26,,,financial control,
igirhobj,Corporate Events,Closed Lost,2020-03-27,2020-08-27,360,MONTHSAVE25DEAL,quality of delivery,lost to competitor
oyjo0u29,Educational Seminars,Closed Won,2019-11-18,2019-11-18,120,MONTH75SAVINGS,operations,
85av72ze,Corporate Events,Closed Won,2019-05-07,2019-05-07,768,2SEMESTERS20OFF,financial control,
tywn59t4,Corporate Events,Closed Lost,2019-05-07,2019-09-07,324,10OFFREDUCED,,lost to competitor
2ihozyor,Corporate Events,Closed Lost,2020-02-25,2020-03-27,768,2SEMESTERS20OFF,financial control,price
,Educational Seminars,Closed Lost,2019-12-21,2019-12-25,200,,quality of delivery,lost to competitor
9pdj8a6l,Corporate Events,Closed Won,2020-08-27,2020-08-27,576,2SEMESTERS20SALE,time saving,
p9lz6lwb,Corporate Events,Closed Won,2019-11-25,2019-02-07,360,MONTHSAVE25DEAL,operations,
rpbir3em,Corporate Events,Closed Won,2019-01-07,2019-01-07,360,MONTHSAVE25DEAL,financial control,
hyypr9a3,Educational Seminars,Closed Lost,2019-01-07,2019-01-07,240,ECONOMY50GIFT,operations,no product fit
t9wueppe,Educational Seminars,Closed Won,2019-02-07,2019-05-07,576,HALFSEASON20G,operations,
tjsygqiw,Educational Seminars,Checkbox,2019-11-17,2019-11-17,576,HALFSEASON20G,operations,
db3xwjps,Educational Seminars,Closed Won,2019-11-17,2019-11-17,120,NOCOSTREG,financial control,
,Corporate Events,Closed Lost,2019-11-18,2019-11-25,768,2SEMESTERS20OFF,financial control,lost to competitor
d88x0lt9,Sports Events,Closed Lost,2019-11-16,2019-11-17,360,MONTHSAVE25DEAL,operations,lost to competitor
r8teasrc,Corporate Events,Demo 1,2019-11-19,2020-01-26,,,,
06xneadd,Corporate Events,Closed Won,2019-11-20,2019-11-20,240,MONTH50REBATE,operations,
evfrme75,Corporate Events,Closed Won,2019-12-08,2019-12-08,240,MONTH50REBATE,quality of delivery,
bxfvo08z,Corporate Events,Closed Won,2019-12-10,2019-12-10,360,MONTHSAVE25DEAL,quality of delivery,
xinpbyxr,Sports Events,Checkbox,2020-08-27,2020-10-27,324,SLASH10,,
dahu0wbb,Educational Seminars,Closed Won,2020-09-26,2020-09-26,1344,ANNUAL30BONUS,financial control,
eq0lj3hb,Sports Events,Closed Won,2019-07-06,2019-07-06,768,HALFYEAR20G,,
ttp2r4wa,Educational Seminars,Negotiation,2019-07-06,2019-07-06,768,HALFYEAR20G,quality of delivery,
zpw9avew,Educational Seminars,Closed Lost,2019-09-06,2019-09-06,200,,financial control,no product fit
uozmct6s,Educational Seminars,Closed Lost,2019-10-06,2019-10-06,240,SAVEMONTH50G,operations,no product fit
zkveegb7,Educational Seminars,Closed Won,2019-11-17,2019-11-17,1344,ANNUAL30BONUS,financial control,
ivu8e8uy,Corporate Events,Closed Lost,2019-11-20,2019-11-23,200,,financial control,lost to competitor
,Educational Seminars,Demo 1,2019-11-16,2020-01-26,768,HALFYEAR20G,operations,
mhs5t40d,Corporate Events,Closed Won,2019-11-13,2019-11-13,360,MONTHSAVE25DEAL,operations,
,Sports Events,Demo 1,2019-02-07,2020-01-26,,,quality of delivery,
,Sports Events,Demo 1,2019-09-07,2020-01-26,,,quality of delivery,
il4huuwr,,Demo 1,2019-12-07,2020-01-26,,,,
,Educational Seminars,Demo 1,2019-12-09,2020-01-26,,,financial control,
z1cdf0hd,Educational Seminars,Closed Won,2019-12-17,2019-12-22,360,25GIFT,financial control,
q97tjtil,Educational Seminars,Closed Won,2019-12-22,2019-12-24,960,YEARLY60,financial control,
1z50209j,Corporate Events,Closed Won,2019-11-11,2019-11-11,324,10OFFREDUCED,quality of delivery,
9km15cgk,Educational Seminars,Negotiation,2019-12-09,2019-12-09,360,MONTHSAVE25DEAL,financial control,
,Corporate Events,Closed Lost,2019-09-06,2019-11-11,360,SAVE25LESS,operations,no response
y622xpn3,Sports Events,Closed Won,2019-10-06,2019-10-06,360,25GIFT,quality of delivery,
xu9pfqer,Educational Seminars,Closed Won,2019-11-25,2019-11-25,960,YEARLY60,,
mwblgr26,Educational Seminars,Closed Won,2019-12-07,2019-12-07,360,DISCOUNT25QUICK,financial control,
,Wedding Planning,Negotiation,2019-12-23,2020-10-27,,,,
ya0t3tau,Corporate Events,Negotiation,2019-12-16,2019-12-16,768,2SEMESTERS20OFF,quality of delivery,
pxh1iil0,Corporate Events,Closed Won,2019-12-21,2019-12-21,1344,YEARLY30PROMO,quality of delivery,
fb8nk401,Corporate Events,Demo 1,2019-12-07,2020-01-26,,,financial control,
c41k9d6z,Educational Seminars,Closed Lost,2019-07-06,2019-07-06,300,ECONOMY50SPECIAL,,price
qcsguhqf,Educational Seminars,Demo 1,2019-11-17,2020-01-26,,,operations,
2xqfvw9w,Corporate Events,Closed Lost,2019-11-20,2019-11-23,1008,RENEW30YEARLY,financial control,not target
vp8rwd8d,Corporate Events,Closed Won,2019-12-08,2019-12-08,768,2SEMESTERS20OFF,operations,
whdq4slk,Corporate Events,Closed Won,2019-11-18,2019-11-19,768,2SEMESTERS20OFF,,
v7jampxe,Corporate Events,Closed Lost,2019-11-11,2019-11-18,1344,YEARLY30PROMO,,no response
y3dc5m36,Educational Seminars,Closed Won,2019-09-06,2019-09-06,360,DISCOUNT25QUICK,,
04wh7ppy,Educational Seminars,Closed Won,2019-09-06,2019-10-06,360,25GIFT,financial control,
,Educational Seminars,Demo 1,2019-01-07,2020-01-26,,,operations,
fbizu8w8,Corporate Events,Demo 1,2019-12-10,2020-01-26,,CUTBACK75SPECIAL,,
,Sports Events,Negotiation,2019-12-11,2019-12-11,768,HALFYEAR20G,,
1syhc5xg,Corporate Events,Closed Won,2020-01-27,2020-01-27,240,MONTH50REBATE,financial control,
4bw09qb9,Sports Events,Demo 1,2019-12-23,2020-01-26,960,BIANNUAL20,financial control,
8x9u5a7w,Corporate Events,Closed Won,2019-11-09,2019-11-09,240,MONTH50REBATE,,
z1apee9u,Corporate Events,Closed Lost,2019-11-25,2019-11-25,324,10OFFREDUCED,operations,no response
6i461kgp,Wedding Planning,Negotiation,2019-12-23,2019-12-23,,,,
,Corporate Events,Negotiation,2020-09-26,2020-09-26,1344,YEARLY30PROMO,operations,
kqlrpbs5,Corporate Events,Closed Won,2019-12-21,2019-12-21,360,MONTHSAVE25DEAL,quality of delivery,
